§1\n\n_\nEs wäre kein ewiger Weg.\nKönnten wir nennen den Namen,\nEs wäre kein ewiger Name.\n	Könnten wir weisen den *Weg*,
§4\n\n_\nHervorgetreten, sind ihre Namen verschieden.\nIhre Vereinung nennen wir mystisch.\nMystisch und abermals mystisch:\nDie Pforte zu jedwedem Geheimnis.\n	Diese beiden sind eins und gleich.
§4\n\nDiese beiden sind eins und gleich.\n_\nIhre Vereinung nennen wir mystisch.\nMystisch und abermals mystisch:\nDie Pforte zu jedwedem Geheimnis.\n	Hervorgetreten, sind ihre Namen verschieden.
§4\n\nDiese beiden sind eins und gleich.\nHervorgetreten, sind ihre Namen verschieden.\n_\nMystisch und abermals mystisch:\nDie Pforte zu jedwedem Geheimnis.\n	Ihre Vereinung nennen wir mystisch.
§4\n\nDiese beiden sind eins und gleich.\nHervorgetreten, sind ihre Namen verschieden.\nIhre Vereinung nennen wir mystisch.\n_\nDie Pforte zu jedwedem Geheimnis.\n	Mystisch und abermals mystisch:
§4\n\nDiese beiden sind eins und gleich.\nHervorgetreten, sind ihre Namen verschieden.\nIhre Vereinung nennen wir mystisch.\nMystisch und abermals mystisch:\n_\n	Die Pforte zu jedwedem Geheimnis.
§5\n\n_\nEin jeder weiß von der Schönheit des Schönen\nGibt es die Häßlichkeit;\nErst seit ein jeder weiß von der Güte des Guten,\nGibt es das Ungute\n	Erst seit auf Erden
§5\n\nErst seit auf Erden\n_\nGibt es die Häßlichkeit;\nErst seit ein jeder weiß von der Güte des Guten,\nGibt es das Ungute\n	Ein jeder weiß von der Schönheit des Schönen
§5\n\nErst seit auf Erden\nEin jeder weiß von der Schönheit des Schönen\n_\nErst seit ein jeder weiß von der Güte des Guten,\nGibt es das Ungute\n	Gibt es die Häßlichkeit;
§5\n\nErst seit auf Erden\nEin jeder weiß von der Schönheit des Schönen\nGibt es die Häßlichkeit;\n_\nGibt es das Ungute\n	Erst seit ein jeder weiß von der Güte des Guten,
§5\n\nErst seit auf Erden\nEin jeder weiß von der Schönheit des Schönen\nGibt es die Häßlichkeit;\nErst seit ein jeder weiß von der Güte des Guten,\n_\n	Gibt es das Ungute
§6\n\n_\nSein und Nichtsein entspringen einander;\nSchwer und Leicht bedingen einander;\nLang und Kurz vermessen einander;\nHoch und Tief erzwingen einander.\nDie Stimme fügt sich dem Ton im Chor;\nUnd ein Danach folgt dem Zuvor.\n	Wahrlich:
§6\n\nWahrlich:\n_\nSchwer und Leicht bedingen einander;\nLang und Kurz vermessen einander;\nHoch und Tief erzwingen einander.\nDie Stimme fügt sich dem Ton im Chor;\nUnd ein Danach folgt dem Zuvor.\n	Sein und Nichtsein entspringen einander;
§6\n\nWahrlich:\nSein und Nichtsein entspringen einander;\n_\nLang und Kurz vermessen einander;\nHoch und Tief erzwingen einander.\nDie Stimme fügt sich dem Ton im Chor;\nUnd ein Danach folgt dem Zuvor.\n	Schwer und Leicht bedingen einander;
§6\n\nWahrlich:\nSein und Nichtsein entspringen einander;\nSchwer und Leicht bedingen einander;\n_\nHoch und Tief erzwingen einander.\nDie Stimme fügt sich dem Ton im Chor;\nUnd ein Danach folgt dem Zuvor.\n	Lang und Kurz vermessen einander;
§6\n\nWahrlich:\nSein und Nichtsein entspringen einander;\nSchwer und Leicht bedingen einander;\nLang und Kurz vermessen einander;\n_\nDie Stimme fügt sich dem Ton im Chor;\nUnd ein Danach folgt dem Zuvor.\n	Hoch und Tief erzwingen einander.
§6\n\nWahrlich:\nSein und Nichtsein entspringen einander;\nSchwer und Leicht bedingen einander;\nLang und Kurz vermessen einander;\nHoch und Tief erzwingen einander.\n_\nUnd ein Danach folgt dem Zuvor.\n	Die Stimme fügt sich dem Ton im Chor;
§6\n\nWahrlich:\nSein und Nichtsein entspringen einander;\nSchwer und Leicht bedingen einander;\nLang und Kurz vermessen einander;\nHoch und Tief erzwingen einander.\nDie Stimme fügt sich dem Ton im Chor;\n_\n	Und ein Danach folgt dem Zuvor.
§7\n\n_\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	Deshalb der Heilige Mensch:
§7\n\nDeshalb der Heilige Mensch:\n_\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	Er weilt beim Geschäft des Ohne-Tun,
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\n_\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	Er lebt die Lehre des Nicht-Redens.
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\n_\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	Die zehntausend Wesen werden geschaffen von ihm,
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\n_\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	doch er entzieht sich ihnen nicht.
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\n_\nEr tut, aber baut nicht darauf.\nIst das Werk vollendet, verweilt er nicht dabei.\n	Er zeugt, aber besitzt nicht;
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\n_\nIst das Werk vollendet, verweilt er nicht dabei.\n	Er tut, aber baut nicht darauf.
§7\n\nDeshalb der Heilige Mensch:\nEr weilt beim Geschäft des Ohne-Tun,\nEr lebt die Lehre des Nicht-Redens.\nDie zehntausend Wesen werden geschaffen von ihm,\ndoch er entzieht sich ihnen nicht.\nEr zeugt, aber besitzt nicht;\nEr tut, aber baut nicht darauf.\n_\n	Ist das Werk vollendet, verweilt er nicht dabei.
§8\n\n_\nIst nichts, das ihm entginge.\n	Wohl! Nur dadurch, daß er nicht verweilt,
§8\n\nWohl! Nur dadurch, daß er nicht verweilt,\n_\n	Ist nichts, das ihm entginge.
§9\n\n_\nBewirkt, daß das Volk sich nicht streitet.\nWer nicht die Güter schätzt, die schwer zu erlangen,\nBewirkt, daß das Volk nicht zu Räubern wird.\nWer nicht vorzeigt, was man begehren kann,\nBewirkt, daß des Volkes Sinn nicht aufsässig wird.\n	Wer nicht die Tüchtigen ehrt,
§9\n\nWer nicht die Tüchtigen ehrt,\n_\nWer nicht die Güter schätzt, die schwer zu erlangen,\nBewirkt, daß das Volk nicht zu Räubern wird.\nWer nicht vorzeigt, was man begehren kann,\nBewirkt, daß des Volkes Sinn nicht aufsässig wird.\n	Bewirkt, daß das Volk sich nicht streitet.
§9\n\nWer nicht die Tüchtigen ehrt,\nBewirkt, daß das Volk sich nicht streitet.\n_\nBewirkt, daß das Volk nicht zu Räubern wird.\nWer nicht vorzeigt, was man begehren kann,\nBewirkt, daß des Volkes Sinn nicht aufsässig wird.\n	Wer nicht die Güter schätzt, die schwer zu erlangen,
§9\n\nWer nicht die Tüchtigen ehrt,\nBewirkt, daß das Volk sich nicht streitet.\nWer nicht die Güter schätzt, die schwer zu erlangen,\n_\nWer nicht vorzeigt, was man begehren kann,\nBewirkt, daß des Volkes Sinn nicht aufsässig wird.\n	Bewirkt, daß das Volk nicht zu Räubern wird.
§9\n\nWer nicht die Tüchtigen ehrt,\nBewirkt, daß das Volk sich nicht streitet.\nWer nicht die Güter schätzt, die schwer zu erlangen,\nBewirkt, daß das Volk nicht zu Räubern wird.\n_\nBewirkt, daß des Volkes Sinn nicht aufsässig wird.\n	Wer nicht vorzeigt, was man begehren kann,
§9\n\nWer nicht die Tüchtigen ehrt,\nBewirkt, daß das Volk sich nicht streitet.\nWer nicht die Güter schätzt, die schwer zu erlangen,\nBewirkt, daß das Volk nicht zu Räubern wird.\nWer nicht vorzeigt, was man begehren kann,\n_\n	Bewirkt, daß des Volkes Sinn nicht aufsässig wird.
§10\n\n_\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Deshalb des Heiligen Menschen Regierung:
§10\n\nDeshalb des Heiligen Menschen Regierung:\n_\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Er leert ihren Sinn
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\n_\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Und füllt ihren Bauch;
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\n_\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Er schwächt ihren Willen
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\n_\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Und stärkt ihre Knochen.
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\n_\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Ewig läßt er das Volk
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\n_\nUnd wirkt, daß die Klugen\nNicht wagen zu tun.\n	Ohne Wissen, ohne Begehren
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\n_\nNicht wagen zu tun.\n	Und wirkt, daß die Klugen
§10\n\nDeshalb des Heiligen Menschen Regierung:\nEr leert ihren Sinn\nUnd füllt ihren Bauch;\nEr schwächt ihren Willen\nUnd stärkt ihre Knochen.\nEwig läßt er das Volk\nOhne Wissen, ohne Begehren\nUnd wirkt, daß die Klugen\n_\n	Nicht wagen zu tun.
§11\n\n_\nIst nichts, das nicht regiert würde.\n	Tut er das Ohne-Tun,
§11\n\nTut er das Ohne-Tun,\n_\n	Ist nichts, das nicht regiert würde.
§12\n\n_\nDaß im Gebrauch er niemals gefüllt wird.\nAbgründig ist er, ach!\nDem Ahnherrn der zehntausend Wesen gleich.\n	Der *Weg* ist raumleer,
§12\n\nDer *Weg* ist raumleer,\n_\nAbgründig ist er, ach!\nDem Ahnherrn der zehntausend Wesen gleich.\n	Daß im Gebrauch er niemals gefüllt wird.
§12\n\nDer *Weg* ist raumleer,\nDaß im Gebrauch er niemals gefüllt wird.\n_\nDem Ahnherrn der zehntausend Wesen gleich.\n	Abgründig ist er, ach!
§12\n\nDer *Weg* ist raumleer,\nDaß im Gebrauch er niemals gefüllt wird.\nAbgründig ist er, ach!\n_\n	Dem Ahnherrn der zehntausend Wesen gleich.
§13\n\n_\nLöst auf seine Wirren,\nBeschwichtigt sein Glänzen,\nVereint seinen Staub.)\n	(Er schabt ab seine Schärfen,
§13\n\n(Er schabt ab seine Schärfen,\n_\nBeschwichtigt sein Glänzen,\nVereint seinen Staub.)\n	Löst auf seine Wirren,
§13\n\n(Er schabt ab seine Schärfen,\nLöst auf seine Wirren,\n_\nVereint seinen Staub.)\n	Beschwichtigt sein Glänzen,
§13\n\n(Er schabt ab seine Schärfen,\nLöst auf seine Wirren,\nBeschwichtigt sein Glänzen,\n_\n	Vereint seinen Staub.)
§14\n\n_\nUnd gleichsam ewig gegenwärtig.\nIch weiß nicht, wessen Sohn er ist –\nEin Bild von dem, das vor den Göttern war.\n	Tiefgründig ist er, ach!
§14\n\nTiefgründig ist er, ach!\n_\nIch weiß nicht, wessen Sohn er ist –\nEin Bild von dem, das vor den Göttern war.\n	Und gleichsam ewig gegenwärtig.
§14\n\nTiefgründig ist er, ach!\nUnd gleichsam ewig gegenwärtig.\n_\nEin Bild von dem, das vor den Göttern war.\n	Ich weiß nicht, wessen Sohn er ist –
§14\n\nTiefgründig ist er, ach!\nUnd gleichsam ewig gegenwärtig.\nIch weiß nicht, wessen Sohn er ist –\n_\n	Ein Bild von dem, das vor den Göttern war.
§13\n\n_\nSie nehmen die zehntausend Wesen für Strohhunde.\nDer Heilige Mensch ist nicht menschenfreundlich;\nEr nimmt die hundert Geschlechter für Strohhunde.\n	Himmel und Erde sind nicht menschenfreundlich;
§13\n\nHimmel und Erde sind nicht menschenfreundlich;\n_\nDer Heilige Mensch ist nicht menschenfreundlich;\nEr nimmt die hundert Geschlechter für Strohhunde.\n	Sie nehmen die zehntausend Wesen für Strohhunde.
§13\n\nHimmel und Erde sind nicht menschenfreundlich;\nSie nehmen die zehntausend Wesen für Strohhunde.\n_\nEr nimmt die hundert Geschlechter für Strohhunde.\n	Der Heilige Mensch ist nicht menschenfreundlich;
§13\n\nHimmel und Erde sind nicht menschenfreundlich;\nSie nehmen die zehntausend Wesen für Strohhunde.\nDer Heilige Mensch ist nicht menschenfreundlich;\n_\n	Er nimmt die hundert Geschlechter für Strohhunde.
§14\n\n_\nIhr Zwischenraum einem Blasebalg!\nEr fällt nicht ein, ob noch so leer;\nJe mehr bewegt, gibt aus er um so mehr.\n	Himmel und Erde, wie gleicht
§14\n\nHimmel und Erde, wie gleicht\n_\nEr fällt nicht ein, ob noch so leer;\nJe mehr bewegt, gibt aus er um so mehr.\n	Ihr Zwischenraum einem Blasebalg!
§14\n\nHimmel und Erde, wie gleicht\nIhr Zwischenraum einem Blasebalg!\n_\nJe mehr bewegt, gibt aus er um so mehr.\n	Er fällt nicht ein, ob noch so leer;
§14\n\nHimmel und Erde, wie gleicht\nIhr Zwischenraum einem Blasebalg!\nEr fällt nicht ein, ob noch so leer;\n_\n	Je mehr bewegt, gibt aus er um so mehr.
§15\n\n_\nAm besten, man bewahrt sie in der Brust!\n	Viele Worte – manch Verlust.
§15\n\nViele Worte – manch Verlust.\n_\n	Am besten, man bewahrt sie in der Brust!
§16\n\n_\nSo heißt es von der Mystischen Weibheit.\nDer Mystischen Weibheit Pforte:\nSo heißt man die Wurzel von Himmel und Erde.\nEndlos wallend, gleichsam gegenwärtig.\nAlso wirkt sie sonder Beschwerde.\n	Unsterblich ist die Fee des Tals:
§16\n\nUnsterblich ist die Fee des Tals:\n_\nDer Mystischen Weibheit Pforte:\nSo heißt man die Wurzel von Himmel und Erde.\nEndlos wallend, gleichsam gegenwärtig.\nAlso wirkt sie sonder Beschwerde.\n	So heißt es von der Mystischen Weibheit.
§16\n\nUnsterblich ist die Fee des Tals:\nSo heißt es von der Mystischen Weibheit.\n_\nSo heißt man die Wurzel von Himmel und Erde.\nEndlos wallend, gleichsam gegenwärtig.\nAlso wirkt sie sonder Beschwerde.\n	Der Mystischen Weibheit Pforte:
§16\n\nUnsterblich ist die Fee des Tals:\nSo heißt es von der Mystischen Weibheit.\nDer Mystischen Weibheit Pforte:\n_\nEndlos wallend, gleichsam gegenwärtig.\nAlso wirkt sie sonder Beschwerde.\n	So heißt man die Wurzel von Himmel und Erde.
§16\n\nUnsterblich ist die Fee des Tals:\nSo heißt es von der Mystischen Weibheit.\nDer Mystischen Weibheit Pforte:\nSo heißt man die Wurzel von Himmel und Erde.\n_\nAlso wirkt sie sonder Beschwerde.\n	Endlos wallend, gleichsam gegenwärtig.
§16\n\nUnsterblich ist die Fee des Tals:\nSo heißt es von der Mystischen Weibheit.\nDer Mystischen Weibheit Pforte:\nSo heißt man die Wurzel von Himmel und Erde.\nEndlos wallend, gleichsam gegenwärtig.\n_\n	Also wirkt sie sonder Beschwerde.
§17\n\n_\nWas aber macht, daß Himmel und Erde vermögen\nZu währen, zu dauern?\nWeil sie nicht selber leben,\nDarum vermögen sie, ewig zu leben.\n	Der Himmel währt ewig, und die Erde dauert.
§17\n\nDer Himmel währt ewig, und die Erde dauert.\n_\nZu währen, zu dauern?\nWeil sie nicht selber leben,\nDarum vermögen sie, ewig zu leben.\n	Was aber macht, daß Himmel und Erde vermögen
§17\n\nDer Himmel währt ewig, und die Erde dauert.\nWas aber macht, daß Himmel und Erde vermögen\n_\nWeil sie nicht selber leben,\nDarum vermögen sie, ewig zu leben.\n	Zu währen, zu dauern?
§17\n\nDer Himmel währt ewig, und die Erde dauert.\nWas aber macht, daß Himmel und Erde vermögen\nZu währen, zu dauern?\n_\nDarum vermögen sie, ewig zu leben.\n	Weil sie nicht selber leben,
§17\n\nDer Himmel währt ewig, und die Erde dauert.\nWas aber macht, daß Himmel und Erde vermögen\nZu währen, zu dauern?\nWeil sie nicht selber leben,\n_\n	Darum vermögen sie, ewig zu leben.
§18\n\n_\nEr setzt zurück sein Selbst –\nUnd es wird vorne sein;\nEr treibt hinaus sein Selbst –\nUnd sein Selbst tritt ein.\nIst das nicht, weil er ohne Eigennutz?\nDarum vermag er, sein Eigen zu vollenden.\n	Deshalb der Heilige Mensch:
§18\n\nDeshalb der Heilige Mensch:\n_\nUnd es wird vorne sein;\nEr treibt hinaus sein Selbst –\nUnd sein Selbst tritt ein.\nIst das nicht, weil er ohne Eigennutz?\nDarum vermag er, sein Eigen zu vollenden.\n	Er setzt zurück sein Selbst –
§18\n\nDeshalb der Heilige Mensch:\nEr setzt zurück sein Selbst –\n_\nEr treibt hinaus sein Selbst –\nUnd sein Selbst tritt ein.\nIst das nicht, weil er ohne Eigennutz?\nDarum vermag er, sein Eigen zu vollenden.\n	Und es wird vorne sein;
§18\n\nDeshalb der Heilige Mensch:\nEr setzt zurück sein Selbst –\nUnd es wird vorne sein;\n_\nUnd sein Selbst tritt ein.\nIst das nicht, weil er ohne Eigennutz?\nDarum vermag er, sein Eigen zu vollenden.\n	Er treibt hinaus sein Selbst –
§18\n\nDeshalb der Heilige Mensch:\nEr setzt zurück sein Selbst –\nUnd es wird vorne sein;\nEr treibt hinaus sein Selbst –\n_\nIst das nicht, weil er ohne Eigennutz?\nDarum vermag er, sein Eigen zu vollenden.\n	Und sein Selbst tritt ein.
§18\n\nDeshalb der Heilige Mensch:\nEr setzt zurück sein Selbst –\nUnd es wird vorne sein;\nEr treibt hinaus sein Selbst –\nUnd sein Selbst tritt ein.\n_\nDarum vermag er, sein Eigen zu vollenden.\n	Ist das nicht, weil er ohne Eigennutz?
§18\n\nDeshalb der Heilige Mensch:\nEr setzt zurück sein Selbst –\nUnd es wird vorne sein;\nEr treibt hinaus sein Selbst –\nUnd sein Selbst tritt ein.\nIst das nicht, weil er ohne Eigennutz?\n_\n	Darum vermag er, sein Eigen zu vollenden.
§19\n\n_\nDes Wassers Gutsein: Es nützt den zehntausend Wesen,\nAber macht ihnen nichts streitig;\nEs weilt an Orten,\nDie die Menge der Menschen verabscheut.\nDarum ist es nahe dem *Weg*.\n	Das höchste Gute gleicht dem Wasser.
§19\n\nDas höchste Gute gleicht dem Wasser.\n_\nAber macht ihnen nichts streitig;\nEs weilt an Orten,\nDie die Menge der Menschen verabscheut.\nDarum ist es nahe dem *Weg*.\n	Des Wassers Gutsein: Es nützt den zehntausend Wesen,
§19\n\nDas höchste Gute gleicht dem Wasser.\nDes Wassers Gutsein: Es nützt den zehntausend Wesen,\n_\nEs weilt an Orten,\nDie die Menge der Menschen verabscheut.\nDarum ist es nahe dem *Weg*.\n	Aber macht ihnen nichts streitig;
§19\n\nDas höchste Gute gleicht dem Wasser.\nDes Wassers Gutsein: Es nützt den zehntausend Wesen,\nAber macht ihnen nichts streitig;\n_\nDie die Menge der Menschen verabscheut.\nDarum ist es nahe dem *Weg*.\n	Es weilt an Orten,
§19\n\nDas höchste Gute gleicht dem Wasser.\nDes Wassers Gutsein: Es nützt den zehntausend Wesen,\nAber macht ihnen nichts streitig;\nEs weilt an Orten,\n_\nDarum ist es nahe dem *Weg*.\n	Die die Menge der Menschen verabscheut.
§19\n\nDas höchste Gute gleicht dem Wasser.\nDes Wassers Gutsein: Es nützt den zehntausend Wesen,\nAber macht ihnen nichts streitig;\nEs weilt an Orten,\nDie die Menge der Menschen verabscheut.\n_\n	Darum ist es nahe dem *Weg*.
§20\n\n_\nGut ist beim Sinnen: die Tiefe.\nGut ist beim Geben: die Menschlichkeit.\nGut ist beim Reden: die Treulichkeit.\nGut ist beim Herrschen: die Ordnung.\nGut ist beim Schaffen: die Fähigkeit.\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Wohnen: der Grund.
§20\n\nGut ist beim Wohnen: der Grund.\n_\nGut ist beim Geben: die Menschlichkeit.\nGut ist beim Reden: die Treulichkeit.\nGut ist beim Herrschen: die Ordnung.\nGut ist beim Schaffen: die Fähigkeit.\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Sinnen: die Tiefe.
§20\n\nGut ist beim Wohnen: der Grund.\nGut ist beim Sinnen: die Tiefe.\n_\nGut ist beim Reden: die Treulichkeit.\nGut ist beim Herrschen: die Ordnung.\nGut ist beim Schaffen: die Fähigkeit.\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Geben: die Menschlichkeit.
§20\n\nGut ist beim Wohnen: der Grund.\nGut ist beim Sinnen: die Tiefe.\nGut ist beim Geben: die Menschlichkeit.\n_\nGut ist beim Herrschen: die Ordnung.\nGut ist beim Schaffen: die Fähigkeit.\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Reden: die Treulichkeit.
§20\n\nGut ist beim Wohnen: der Grund.\nGut ist beim Sinnen: die Tiefe.\nGut ist beim Geben: die Menschlichkeit.\nGut ist beim Reden: die Treulichkeit.\n_\nGut ist beim Schaffen: die Fähigkeit.\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Herrschen: die Ordnung.
§20\n\nGut ist beim Wohnen: der Grund.\nGut ist beim Sinnen: die Tiefe.\nGut ist beim Geben: die Menschlichkeit.\nGut ist beim Reden: die Treulichkeit.\nGut ist beim Herrschen: die Ordnung.\n_\nGut beim Sich-Regen: die rechte Zeit.\n	Gut ist beim Schaffen: die Fähigkeit.
§20\n\nGut ist beim Wohnen: der Grund.\nGut ist beim Sinnen: die Tiefe.\nGut ist beim Geben: die Menschlichkeit.\nGut ist beim Reden: die Treulichkeit.\nGut ist beim Herrschen: die Ordnung.\nGut ist beim Schaffen: die Fähigkeit.\n_\n	Gut beim Sich-Regen: die rechte Zeit.
§21\n\n_\nIst gegen Schmähung gefeit.\n	Wohl! Nur, wer sich nicht streitet,
§21\n\nWohl! Nur, wer sich nicht streitet,\n_\n	Ist gegen Schmähung gefeit.
§22\n\n_\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	[Den Becher] halten und füllen zugleich –
§22\n\n[Den Becher] halten und füllen zugleich –\n_\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Besser, die ließest es sein!
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n_\nDas dauert nicht lange!\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	[Die Klinge] betasten und schärfen zugleich –
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\n_\nVoll Erz und Juwelen die Halle –\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Das dauert nicht lange!
§22\n\n[Den Becher] halten und füllen zugleich –\nBesser, die ließest es sein!\n[Die Klinge] betasten und schärfen zugleich –\nDas dauert nicht lange!\n_\nNiemand kann sie bewahren.\nStolz auf Reichtum und Ehre\nSchafft selber sich Unheil.\nSein Werk vollbringen\nUnd sich zurückziehn:\nAlso des Himmels *Weg*.\n	Voll Erz und Juwelen die Halle –
