aktuelan	momentan
_1 (sati) i _2 (minuta).	Es ist _2 Minuten nach _1.
_1 (minuta) do _2 (sati).	Es ist _1 vor _2.
odjeća	Kleidung
pantalone	Hose
farmerke	Jeans
šorc	Shorts
majica	Hemd
majica kratkih rukava	T-Shirt
jakna	Jacke
odijelo	Anzug
suknja	Rock
haljina	Kleid
čarape	Socken
cipele	Schuhe
sandale	Sandalen
papuče	Pantoffeln
rukavice	Handschuhe
šal	Schal
kapa	Kappe
šešir	Hut
kravata	Kravatte
grad	Stadt
rod	Geschlecht
roda	Storch
roditelji	Eltern
rodbina	Familie/Verwandte/Verwandtschaft
napustiti	verlassen
kaša	Brei
kašalj	Husten
kasan	spät
umrijeti	sterben
poruka	Nachricht (f)
suprotnost	Gegenteil (n)
emitirati	senden
izvod	Auszug (m)
sin	Sohn (m)
bilo ko	irgendjemand
bilo dje	irgendwo
bilo šta	irgendetwas
umirovljen	pensioniert
Dobro mu je.	Es geht ihm gut.
Kako mu je?	Wie geht es ihm?
majka	Mutter/Großmutter (f)
kasnije	später
star	alt
osnovati	einrichten
nadomak	nahe
nadmašiti	übertreffen
naime	nämlich/und zwar
iole	halbwegs
već	schon/bereits
Već nam sa putu!	Ich bin schon unterwegs!
gimnazija	Gymnasium (f)
gimnastika	Gymnastik (f)
počinjati	anfangen/beginnen
crkva	Kirche (f)
predsjednik	Präsident (m)
mjesto	Ort/Platz/Stelle (n)
mjesečni/mjesnečno	monatlich
ogranak	Zweig (m)
ograničenje	Einschränkung (n)
ograničen	begrenzt
mladić	Junge (m)
legija	Legion (f)
to	es/das
kroz to	dadurch
Ostavi to!	Lass das!
doba	Zeitalter (n)
baviti se nečim	sich mit etwas beschäftigen
klizanje na ledu	Eislaufen (n)
planina	Berg (f)
gdje	wo
kuda	wo/wohin
pravi	echt
pravilo	Regel (n)
pravično	fair/gerecht/richtig
glumac	Darsteller/Schauspieler (m)
glumiti	spielen
raznolikost	Vielfalt/Verschiedenheit (f)
maternica	Gebärmutter (f)
materijal	Material (m)
maternji jezik	Muttersprache (m)
s obzirom na	hinsichtlich
odličan	hervorragend/toll
odlično	sehr gut
uspjeh	Erfolg (m)
uspješan	erfolgreich
nakon što	nachdem
teg	Gewicht (m)
selidba	Umzug (f)
očekivati	erwarten
očevidan	offensichtlich
dvoumiti se	zweifeln
između	zwischen/dazwischen
jednak	gleich/egal
te	und
šećer	Zucker (m)
smeće	Müll/Abfall (n)
iznijeti	rausbringen
poziv	Einladung (m)
drug	Freund (m)
strana/stranica	Seite (f)
stranac	Ausländer (m)
strani	ausländisch
stranka	Partei (f)
istekao	abgelaufen
ipak	jedoch/trotzdem/immerhin
odlučan	beschlossen/entscheidend
odlučiti/odlučivati	beschließen/entscheiden
odlučno	bestimmt
odlučujući	entscheidend
zajedno	gemeinsam
poznat	bekannt/berühmt/altbekannt
polje	Feld (n)
piće	Getränk (n)
lišće	Blätter (n)
pismeno	schriftlich
gradić	Städtchen (m)
osnivati	einrichten
Požuri!	Beeil dich!
zanemariti	vernachlässigen
zanemarljiv	unbeachtlich
uskoro	bald/demnächst
postajati	werden
podlaktica	Unterarm (f)
vjera	Glaube/Überzeugung/Meinung (f)
živ	lebendig
živahan	rege/lebendig
živahno	lebhaft
živčani sistem	Nervensystem
živjeti	leben/wohnen
život	Leben (m)
životinja	Tier (f)
krug	Ring/Kreis (m)
njemu	ihm
umalo	fast
nastava	Unterricht (f)
nastaviti	fortfahren
nastavnik	Lehrer (m)
stuij	Studium (m)
širi	weiter
tvrd	hart
kako	wie
otpornik	Widerstand (im Bauteil) (m)
naći	finden
način	Art/Weise
naviše	herauf/hinauf
mozak	Gehirn (m)
puž	Schnecke (m)
oružje	Waffe (n)
da bi	um zu
prehlada	Erkältung (f)
kamen	Stein (m)
kamenit	steinig
lomiti	brechen
lom	Krach (m)
tvornica	Fabrik (f)
smrt	Tod (f)
smrtan	sterblich
središnji	zentral (gelegen)
serdište	Zentrum (n)
tvor	Iltis (m)
upisivanje	Eintragung (n)
sjeme	Samen/Korn (n)
zarez	Komma (m)
dogoditi se	geschehen
čemu	wozu
tema	Thema (f)
vjerenica	Verlobte (f)
kod	bei
avet	Gespenst (f)
imanje	Gut (n)
križ	Kreuz (m)
vraćati novac	rückerstatten
selo	Dorf (n)
sluh	Gehör (m)
sluz	Schleim (m)
sluga	Diener (m)
nego što	was denn sonst
kapak	Deckel (m)
postajati	werden
predati	(etwas) aufgeben (zum verschickt werden)
predavati	unterrichten
utikač	Stecker (m)
biser	Perle (f)
posao	Arbeit (m)
pošto	nachdem
postati	werden
imenica	Nomen/Substantiv/Hauptwort (f)
gaće	männliche Unterhose (f)
gajba	Kiste (f)
galamiti	herumschreien
kao nov	wie neu
kao uobičajeno	wie gewöhnlich
najmiti	mieten
ladice	Schubladen (pl)
izabrati	auswählen
red	Warteschlange (m)
redom	nacheinander
put	Reise (m)
nije	nicht
nagrada	Auszeichnung (f)
uzimati	nehmen
novine	Zeitung (pl)
nov	neu
novac	Geld (m)
slučajnost	Zufall (f)
slučaj	Fall (m)
dostići	erreichen/erzielen
savremen	aktuell
svijet	Welt (m)
svijeća	Kerze (f)
svijetao	hell
račun	Rechnung/Quittung (m)
mlad	jung
međutim	allerdings/jedoch
smatrati	dafürhalten
neki	einige/manche
razlog	Grund/Ursache (m)
što	was
dvojezičan	zweisprachig
svojina	Eigentum (n)
svojstven	charakteristisch
svojstvo	Eigenschaft (n)
pola	halb
soba	Zimmer (f)
čoban	Hirte (m)
izjašnjenje	Erklärung (n)
izjave	Aussagen (pl)
isti	selbe
najprije	zuerst
prije	eher/vor
brijeg	Berg (m)
strpljiv	geduldig
strpljenje	Geduld (n)
uredba	Verordnung (f)
zijan	Schaden (m)
pijaca	Markt (f)
pijavica	Blutegel (f)
žestok	heftig
bol	Schmerz (m)
protiv	gegen
zarez	Komma (m)
ukinuti	abschaffen
čuti	hören
nekoliko	ein paar
izjave	Aussagen (pl)
koja	welche
kokoš	Huhn (f)
optužiti	beschuldigen
Sretno!	Alles Gute!
ponašanje	Benehmen/Manieren (n)
ponašati se	sich benehmen
astal	Tisch (m)
čija	wessen
cijel	ganz
pretko	über/durch
prethodan	vorangehend
poznavanje	Kenntnis (n)
kolebati se	zweifeln
pokušati	versuchen
napet	nervös
lični	privat
ličnost	Person/Persönlichkeit (f)
mišić	Muskel (m)
goriti	brennen
voliti	mögen
tako	so
takoreći	sozusagen
bika	Großmutter (f)
oni	sie/jene
ćejf	Vergnügen (n)
slavuj	Nachtigall (f)
moć	Kraft (f)
moćan	gewaltig
kuća	Haus (f)
odgovor	Antwort (m)
odgovariti	antworten
broj	Zahl/Nummer (m)
pas	Hund (m)
više	mehr
