momentan	aktuelan
und	te
Zucker (m)	šećer
Müll/Abfall (n)	smeće
rausbringen	iznijeti
Einladung (m)	poziv
Freund (m)	drug
Seite (f)	strana/stranica
Ausländer (m)	stranac
ausländisch	strani
Partei (f)	stranka
abgelaufen	istekao
jedoch/trotzdem/immerhin	ipak
beschlossen/entscheidend	odlučan
beschließen/entscheiden	odlučiti/odlučivati
bestimmt	odlučno
entscheidend	odlučujući
gemeinsam	zajedno
bekannt/berühmt/altbekannt	poznat
Feld (n)	polje
Getränk (n)	piće
Blätter (n)	lišće
schriftlich	pismeno
Städtchen (m)	gradić
einrichten	osnivati
Beeil dich!	Požuri!
vernachlässigen	zanemariti
unbeachtlich	zanemarljiv
bald/demnächst	uskoro
werden	postajati
Unterarm (f)	podlaktica
Glaube/Überzeugung/Meinung (f)	vjera
lebendig	živ
rege/lebendig	živahan
lebhaft	živahno
Nervensystem	živčani sistem
leben/wohnen	živjeti
Leben (m)	život
Tier (f)	životinja
Ring/Kreis (m)	krug
ihm	njemu
fast	umalo
Unterricht (f)	nastava
fortfahren	nastaviti
Lehrer (m)	nastavnik
Studium (m)	stuij
weiter	širi
hart	tvrd
wie	kako
Widerstand (im Bauteil) (m)	otpornik
finden	naći
Art/Weise	način
herauf/hinauf	naviše
Gehirn (m)	mozak
Schnecke (m)	puž
Waffe (n)	oružje
um zu	da bi
Erkältung (f)	prehlada
Stein (m)	kamen
steinig	kamenit
brechen	lomiti
Krach (m)	lom
Fabrik (f)	tvornica
Tod (f)	smrt
sterblich	smrtan
zentral (gelegen)	središnji
Zentrum (n)	serdište
Iltis (m)	tvor
Eintragung (n)	upisivanje
Samen/Korn (n)	sjeme
Komma (m)	zarez
geschehen	dogoditi se
wozu	čemu
Thema (f)	tema
Verlobte (f)	vjerenica
bei	kod
Gespenst (f)	avet
Gut (n)	imanje
Kreuz (m)	križ
rückerstatten	vraćati novac
Dorf (n)	selo
Gehör (m)	sluh
Schleim (m)	sluz
Diener (m)	sluga
was denn sonst	nego što
Deckel (m)	kapak
werden	postajati
(etwas) aufgeben (zum verschickt werden)	predati
unterrichten	predavati
Stecker (m)	utikač
Perle (f)	biser
Arbeit (m)	posao
nachdem	pošto
werden	postati
Nomen/Substantiv/Hauptwort (f)	imenica
männliche Unterhose (f)	gaće
Kiste (f)	gajba
herumschreien	galamiti
wie neu	kao nov
wie gewöhnlich	kao uobičajeno
mieten	najmiti
Schubladen (pl)	ladice
auswählen	izabrati
Warteschlange (m)	red
nacheinander	redom
Reise (m)	put
nicht	nije
Auszeichnung (f)	nagrada
nehmen	uzimati
Zeitung (pl)	novine
neu	nov
Geld (m)	novac
Zufall (f)	slučajnost
Fall (m)	slučaj
erreichen/erzielen	dostići
aktuell	savremen
Welt (m)	svijet
Kerze (f)	svijeća
hell	svijetao
Rechnung/Quittung (m)	račun
jung	mlad
allerdings/jedoch	međutim
dafürhalten	smatrati
einige/manche	neki
Grund/Ursache (m)	razlog
was	što
zweisprachig	dvojezičan
Eigentum (n)	svojina
charakteristisch	svojstven
Eigenschaft (n)	svojstvo
halb	pola
Zimmer (f)	soba
Hirte (m)	čoban
Erklärung (n)	izjašnjenje
Aussagen (pl)	izjave
selbe	isti
zuerst	najprije
eher/vor	prije
Berg (m)	brijeg
geduldig	strpljiv
Geduld (n)	strpljenje
Verordnung (f)	uredba
Schaden (m)	zijan
Markt (f)	pijaca
Blutegel (f)	pijavica
heftig	žestok
Schmerz (m)	bol
gegen	protiv
Komma (m)	zarez
abschaffen	ukinuti
hören	čuti
ein paar	nekoliko
Aussagen (pl)	izjave
welche	koja
Huhn (f)	kokoš
beschuldigen	optužiti
Alles Gute!	Sretno!
Benehmen/Manieren (n)	ponašanje
sich benehmen	ponašati se
Tisch (m)	astal
wessen	čija
ganz	cijel
über/durch	pretko
vorangehend	prethodan
Kenntnis (n)	poznavanje
zweifeln	kolebati se
versuchen	pokušati
nervös	napet
privat	lični
Person/Persönlichkeit (f)	ličnost
Muskel (m)	mišić
brennen	goriti
mögen	voliti
so	tako
sozusagen	takoreći
Großmutter (f)	bika
sie/jene	oni
Vergnügen (n)	ćejf
Nachtigall (f)	slavuj
Kraft (f)	moć
gewaltig	moćan
Haus (f)	kuća
Antwort (m)	odgovor
antworten	odgovariti
Zahl/Nummer (m)	broj
Hund (m)	pas
mehr	više
